level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	762	1000	-1	
2	1	1	0	0	0	166	43	104	15	-1	
3	1	1	1	0	0	166	43	104	15	-1	
4	1	1	1	1	0	166	43	104	15	-1	
5	1	1	1	1	1	166	43	25	12	82.092003	To:
5	1	1	1	1	2	206	39	17	28	46.293545	©.
5	1	1	1	1	3	232	39	38	28	0.000000	Caen
2	1	2	0	0	0	185	77	93	14	-1	
3	1	2	1	0	0	185	77	93	14	-1	
4	1	2	1	1	0	185	77	93	14	-1	
5	1	2	1	1	1	185	77	27	14	58.093353	Fo.
5	1	2	1	1	2	222	79	56	12	2.510880	MIze10
2	1	3	0	0	0	51	285	203	54	-1	
3	1	3	1	0	0	51	285	203	24	-1	
4	1	3	1	1	0	52	285	202	9	-1	
5	1	3	1	1	1	52	285	66	9	96.390656	AMERICAN
5	1	3	1	1	2	128	286	59	8	94.898735	TOBACCO
5	1	3	1	1	3	196	285	58	9	94.752686	COMPANY
4	1	3	1	2	0	51	297	110	12	-1	
5	1	3	1	2	1	51	297	68	12	0.000000	ANTCARIS”
5	1	3	1	2	2	128	299	33	9	87.970840	BURT
3	1	3	2	0	0	52	313	152	26	-1	
4	1	3	2	1	0	53	313	151	10	-1	
5	1	3	2	1	1	53	313	24	10	96.650421	SIX
5	1	3	2	1	2	86	313	67	9	96.690529	STANFORD
5	1	3	2	1	3	162	313	42	9	95.492294	FORUM
4	1	3	2	2	0	52	327	151	12	-1	
5	1	3	2	2	1	52	327	73	12	95.921837	STAMFORD,
5	1	3	2	2	2	136	328	17	9	91.773674	CF
5	1	3	2	2	3	162	327	41	10	93.454353	06904
2	1	4	0	0	0	295	32	54	34	-1	
3	1	4	1	0	0	295	32	54	34	-1	
4	1	4	1	1	0	295	32	54	34	-1	
5	1	4	1	1	1	295	32	54	34	95.000000	 
2	1	5	0	0	0	418	52	71	2	-1	
3	1	5	1	0	0	418	52	71	2	-1	
4	1	5	1	1	0	418	52	71	2	-1	
5	1	5	1	1	1	418	52	71	2	95.000000	 
2	1	6	0	0	0	493	94	18	1	-1	
3	1	6	1	0	0	493	94	18	1	-1	
4	1	6	1	1	0	493	94	18	1	-1	
5	1	6	1	1	1	493	94	18	1	95.000000	 
2	1	7	0	0	0	408	190	7	9	-1	
3	1	7	1	0	0	408	190	7	9	-1	
4	1	7	1	1	0	408	190	7	9	-1	
5	1	7	1	1	1	408	190	7	9	95.000000	 
2	1	8	0	0	0	565	52	4	43	-1	
3	1	8	1	0	0	565	52	4	43	-1	
4	1	8	1	1	0	565	52	4	43	-1	
5	1	8	1	1	1	565	52	4	43	95.000000	 
2	1	9	0	0	0	352	80	310	134	-1	
3	1	9	1	0	0	422	80	240	43	-1	
4	1	9	1	1	0	423	80	239	14	-1	
5	1	9	1	1	1	423	83	85	12	49.994621	POLPILUMENT
5	1	9	1	1	2	514	83	52	12	92.839798	HOUSE
5	1	9	1	1	3	566	72	7	28	61.337070	|
5	1	9	1	1	4	576	80	86	14	0.000000	S==eeemerwrs
4	1	9	1	2	0	422	90	240	28	-1	
5	1	9	1	2	1	422	102	20	7	73.740646	3530
5	1	9	1	2	2	448	90	43	28	78.081802	Oceanside
5	1	9	1	2	3	497	90	19	28	95.947311	Road
5	1	9	1	2	4	577	98	85	6	30.483315	—
4	1	9	1	3	0	422	114	240	9	-1	
5	1	9	1	3	1	422	115	49	8	17.972954	(Ovemsie,
5	1	9	1	3	2	474	115	15	7	52.179375	N.Y
5	1	9	1	3	3	495	114	21	8	56.361633	11572
5	1	9	1	3	4	577	117	85	6	44.508171	=
3	1	9	2	0	0	352	167	207	28	-1	
4	1	9	2	1	0	352	167	207	28	-1	
5	1	9	2	1	1	352	167	52	28	76.773911	‘TERMS:
5	1	9	2	1	2	466	177	25	9	88.589165	WET
5	1	9	2	1	3	501	176	15	10	88.589165	30
5	1	9	2	1	4	526	177	33	9	87.831085	DAYS
3	1	9	3	0	0	358	190	141	9	-1	
4	1	9	3	1	0	358	190	141	9	-1	
5	1	9	3	1	1	358	190	62	9	75.206619	INVOICE:
5	1	9	3	1	2	468	190	31	9	87.560211	2582
3	1	9	4	0	0	357	203	244	11	-1	
4	1	9	4	1	0	357	203	244	11	-1	
5	1	9	4	1	1	357	204	39	9	92.835396	DATE:
5	1	9	4	1	2	467	204	58	8	92.776772	JANUARY
5	1	9	4	1	3	535	203	22	11	96.650200	25,
5	1	9	4	1	4	569	203	32	9	96.800056	1994
2	1	10	0	0	0	357	217	168	9	-1	
3	1	10	1	0	0	357	217	168	9	-1	
4	1	10	1	1	0	357	217	168	9	-1	
5	1	10	1	1	1	357	218	67	8	95.042290	CUSTOMER
5	1	10	1	1	2	433	218	22	8	71.263809	NO:
5	1	10	1	1	3	467	217	58	9	8.808174	PL11L11
2	1	11	0	0	0	52	369	330	10	-1	
3	1	11	1	0	0	52	369	330	10	-1	
4	1	11	1	1	0	52	369	330	10	-1	
5	1	11	1	1	1	52	369	22	9	59.070621	RE:
5	1	11	1	1	2	87	369	32	9	94.405594	PALL
5	1	11	1	1	3	128	369	33	9	95.613831	MALL
5	1	11	1	1	4	171	369	33	9	95.613831	GOLD
5	1	11	1	1	5	215	369	40	9	96.432831	INNER
5	1	11	1	1	6	264	370	50	9	96.429146	CIRCLE
5	1	11	1	1	7	324	370	58	9	96.174072	PROGRAM
2	1	12	0	0	0	52	382	228	39	-1	
3	1	12	1	0	0	52	382	228	39	-1	
4	1	12	1	1	0	53	382	227	11	-1	
5	1	12	1	1	1	53	382	16	9	94.593559	PO
5	1	12	1	1	2	78	383	24	8	91.039078	BOX
5	1	12	1	1	3	112	382	66	11	90.892159	5071/BRM
5	1	12	1	1	4	188	383	50	9	91.678192	PERMIT
5	1	12	1	1	5	247	382	33	10	58.698730	#474
4	1	12	1	2	0	52	395	185	11	-1	
5	1	12	1	2	1	52	396	50	9	96.303757	COVERS
5	1	12	1	2	2	112	397	49	8	96.489616	REPORT
5	1	12	1	2	3	171	395	24	11	88.926140	#19
5	1	12	1	2	4	206	400	6	1	82.364349	-
5	1	12	1	2	5	222	396	15	9	95.625023	20
4	1	12	1	3	0	53	408	150	13	-1	
5	1	12	1	3	1	53	408	57	12	89.758904	12/1/93
5	1	12	1	3	2	121	413	6	2	87.563553	~
5	1	12	1	3	3	138	409	65	12	94.247536	12/31/93
2	1	13	0	0	0	53	452	242	10	-1	
3	1	13	1	0	0	53	452	242	10	-1	
4	1	13	1	1	0	53	452	242	10	-1	
5	1	13	1	1	1	53	452	58	10	96.678680	REQUEST
5	1	13	1	1	2	120	452	67	9	96.208923	RECEIVED
5	1	13	1	1	3	197	452	32	9	81.436058	THIS
5	1	13	1	1	4	239	452	56	9	94.906181	PERIOD:
2	1	14	0	0	0	85	465	119	9	-1	
3	1	14	1	0	0	85	465	119	9	-1	
4	1	14	1	1	0	85	465	119	9	-1	
5	1	14	1	1	1	85	465	85	9	53.026485	MEMBERSHIP
5	1	14	1	1	2	180	466	24	8	86.184967	KIT
2	1	15	0	0	0	86	479	245	9	-1	
3	1	15	1	0	0	86	479	245	9	-1	
4	1	15	1	1	0	86	479	245	9	-1	
5	1	15	1	1	1	86	479	101	9	88.650421	CERTIFICATES
5	1	15	1	1	2	197	479	15	9	81.593018	TO
5	1	15	1	1	3	222	479	16	9	96.302299	BE
5	1	15	1	1	4	248	479	41	9	96.600197	KEYED
5	1	15	1	1	5	298	479	33	9	96.661964	ONLY
2	1	16	0	0	0	86	493	76	49	-1	
3	1	16	1	0	0	86	493	76	49	-1	
4	1	16	1	1	0	86	493	59	9	-1	
5	1	16	1	1	1	86	493	59	9	77.922409	COUPONS
4	1	16	1	2	0	87	506	66	10	-1	
5	1	16	1	2	1	87	506	66	10	96.470863	LIGHTERS
4	1	16	1	3	0	87	519	67	11	-1	
5	1	16	1	3	1	87	519	23	11	90.476151	$50
5	1	16	1	3	2	120	520	34	9	93.220482	BOND
4	1	16	1	4	0	87	532	75	10	-1	
5	1	16	1	4	1	87	532	32	10	94.392502	$100
5	1	16	1	4	2	129	533	33	9	94.392502	BOND
2	1	17	0	0	0	53	573	202	78	-1	
3	1	17	1	0	0	53	573	202	64	-1	
4	1	17	1	1	0	53	573	202	9	-1	
5	1	17	1	1	1	53	573	64	9	93.297462	SERVICE:
5	1	17	1	1	2	128	573	85	9	74.165939	MEMBERSAIP
5	1	17	1	1	3	222	573	33	9	88.644836	KITS
4	1	17	1	2	0	129	586	117	9	-1	
5	1	17	1	2	1	129	586	50	9	94.154800	UPDATE
5	1	17	1	2	2	188	586	58	9	94.640495	RECORDS
4	1	17	1	3	0	129	600	58	9	-1	
5	1	17	1	3	1	129	600	58	9	72.359856	COUPONS
4	1	17	1	4	0	129	614	67	9	-1	
5	1	17	1	4	1	129	614	67	9	48.305794	LIGHTERS
4	1	17	1	5	0	129	628	41	9	-1	
5	1	17	1	5	1	129	628	41	9	89.387924	BONDS
3	1	17	2	0	0	53	642	134	9	-1	
4	1	17	2	1	0	53	642	134	9	-1	
5	1	17	2	1	1	53	642	33	8	92.205200	DUPE
5	1	17	2	1	2	96	642	91	9	92.109489	ELINIMATION
2	1	18	0	0	0	52	669	212	37	-1	
3	1	18	1	0	0	52	669	212	37	-1	
4	1	18	1	1	0	53	669	211	11	-1	
5	1	18	1	1	1	53	669	58	10	95.505798	SERVICE
5	1	18	1	1	2	121	669	16	9	84.819038	TO
5	1	18	1	1	3	147	669	33	9	95.833008	SEND
5	1	18	1	1	4	189	669	75	11	95.131561	QUARTERLY
4	1	18	1	2	0	87	681	100	12	-1	
5	1	18	1	2	1	87	683	75	9	12.653015	STATEMENT
5	1	18	1	2	2	172	681	15	12	89.693130	#2
4	1	18	1	3	0	52	696	144	10	-1	
5	1	18	1	3	1	52	696	65	10	94.994377	MAILERS:
5	1	18	1	3	2	129	696	67	9	91.753647	LIGHTERS
2	1	19	0	0	0	325	573	23	64	-1	
3	1	19	1	0	0	325	573	23	36	-1	
4	1	19	1	1	0	325	573	23	9	-1	
5	1	19	1	1	1	325	573	23	9	93.608292	539
4	1	19	1	2	0	325	586	23	10	-1	
5	1	19	1	2	1	325	586	23	10	74.410995	117
4	1	19	1	3	0	325	600	23	9	-1	
5	1	19	1	3	1	325	600	23	9	15.826027	a9
3	1	19	2	0	0	325	614	23	23	-1	
4	1	19	2	1	0	334	614	14	9	-1	
5	1	19	2	1	1	334	614	14	9	65.735016	61
4	1	19	2	2	0	325	628	23	9	-1	
5	1	19	2	2	1	325	628	23	9	94.280350	436
2	1	20	0	0	0	317	683	31	9	-1	
3	1	20	1	0	0	317	683	31	9	-1	
4	1	20	1	1	0	317	683	31	9	-1	
5	1	20	1	1	1	317	683	31	9	73.059029	4221
2	1	21	0	0	0	334	696	14	10	-1	
