level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	762	1000	-1	
2	1	1	0	0	0	5	0	643	819	-1	
3	1	1	1	0	0	5	0	643	819	-1	
4	1	1	1	1	0	5	0	643	204	-1	
5	1	1	1	1	1	5	0	643	204	95.000000	   
5	1	1	1	1	2	408	162	240	40	95.000000	 
4	1	1	1	2	0	5	204	73	67	-1	
5	1	1	1	2	1	5	204	73	67	95.000000	     
4	1	1	1	3	0	5	271	73	47	-1	
5	1	1	1	3	1	5	271	73	47	95.000000	  
4	1	1	1	4	0	5	318	45	67	-1	
5	1	1	1	4	1	5	318	45	67	95.000000	  
4	1	1	1	5	0	5	576	637	243	-1	
5	1	1	1	5	1	5	576	637	243	95.000000	   
2	1	2	0	0	0	168	172	240	20	-1	
3	1	2	1	0	0	168	172	240	20	-1	
4	1	2	1	1	0	168	172	240	20	-1	
5	1	2	1	1	1	168	172	24	13	82.052589	Ted
5	1	2	1	1	2	194	172	115	18	82.052589	Bates
5	1	2	1	1	3	241	167	3	30	52.368130	a
5	1	2	1	1	4	254	172	55	18	36.249271	company.
5	1	2	1	1	5	312	181	18	7	36.249271	inc
5	1	2	1	1	6	333	177	75	15	0.000000	/edvertisng
2	1	3	0	0	0	162	225	426	28	-1	
3	1	3	1	0	0	162	225	426	28	-1	
4	1	3	1	1	0	162	225	426	28	-1	
5	1	3	1	1	1	162	225	47	28	0.000000	‘%e_nooat
5	1	3	1	1	2	213	235	5	6	55.964645	a
5	1	3	1	1	3	224	225	43	28	0.000000	vaziecs
5	1	3	1	1	4	274	225	31	28	0.000000	ronicoo
5	1	3	1	1	5	311	225	49	28	0.000000	exer
5	1	3	1	1	6	472	239	116	10	29.715347	gue
5	1	3	1	1	7	530	230	11	28	22.930725	30
5	1	3	1	1	8	549	239	39	10	45.516914	192
2	1	4	0	0	0	165	246	117	19	-1	
3	1	4	1	0	0	165	246	117	19	-1	
4	1	4	1	1	0	203	246	79	9	-1	
5	1	4	1	1	1	203	246	29	8	0.348755	NRT
5	1	4	1	1	2	236	248	46	7	0.000000	mucin
4	1	4	1	2	0	165	253	109	12	-1	
5	1	4	1	2	1	165	253	57	10	0.000000	Settee
5	1	4	1	2	2	228	245	50	28	4.128860	exams
2	1	5	0	0	0	468	247	80	25	-1	
3	1	5	1	0	0	468	247	80	25	-1	
4	1	5	1	1	0	468	247	80	25	-1	
5	1	5	1	1	1	468	247	80	25	95.000000	 
2	1	6	0	0	0	183	266	377	6	-1	
3	1	6	1	0	0	183	266	377	6	-1	
4	1	6	1	1	0	183	266	377	6	-1	
5	1	6	1	1	1	183	266	377	6	95.000000	 
2	1	7	0	0	0	183	275	66	9	-1	
3	1	7	1	0	0	183	275	66	9	-1	
4	1	7	1	1	0	183	275	66	9	-1	
5	1	7	1	1	1	179	264	42	28	0.000000	Ritioate
5	1	7	1	1	2	228	275	21	9	23.497169	A
2	1	8	0	0	0	206	330	250	47	-1	
3	1	8	1	0	0	206	330	250	47	-1	
4	1	8	1	1	0	206	330	250	30	-1	
5	1	8	1	1	1	206	330	86	24	2.533424	EXPony
5	1	8	1	1	2	314	334	141	26	25.432648	saan
